"Step","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/E","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/E__MIN","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/E__MAX","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/E","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MIN","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MAX","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/E","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MIN","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MAX","Group: 10_09_continue0909 - Training/E","Group: 10_09_continue0909 - Training/E__MIN","Group: 10_09_continue0909 - Training/E__MAX"
"33","-1.3363115787506104","-1.3363115787506104","-1.3363115787506104","-1.8763185739517212","-1.8763185739517212","-1.8763185739517212","-0.6925857663154602","-0.6925857663154602","-0.6925857663154602","-1.6209275722503662","-1.6209275722503662","-1.6209275722503662"
"34","-1.1855419874191284","-1.1855419874191284","-1.1855419874191284","-1.523701786994934","-1.523701786994934","-1.523701786994934","-0.8503492474555969","-0.8503492474555969","-0.8503492474555969","-1.1241496801376343","-1.1241496801376343","-1.1241496801376343"
"35","-1.2729153633117676","-1.2729153633117676","-1.2729153633117676","-2.1402738094329834","-2.1402738094329834","-2.1402738094329834","-0.6790192127227783","-0.6790192127227783","-0.6790192127227783","-1.2323888540267944","-1.2323888540267944","-1.2323888540267944"
"36","-1.0867592096328735","-1.0867592096328735","-1.0867592096328735","-1.6086645126342773","-1.6086645126342773","-1.6086645126342773","-1.0169569253921509","-1.0169569253921509","-1.0169569253921509","-0.9675248265266418","-0.9675248265266418","-0.9675248265266418"
"37","-0.9913259744644165","-0.9913259744644165","-0.9913259744644165","-1.5441664457321167","-1.5441664457321167","-1.5441664457321167","-0.7269338965415955","-0.7269338965415955","-0.7269338965415955","-0.8584848642349243","-0.8584848642349243","-0.8584848642349243"
"38","-0.9470949172973633","-0.9470949172973633","-0.9470949172973633","-1.603961706161499","-1.603961706161499","-1.603961706161499","-0.873821496963501","-0.873821496963501","-0.873821496963501","-1.6159626245498657","-1.6159626245498657","-1.6159626245498657"
"39","-1.1834690570831299","-1.1834690570831299","-1.1834690570831299","-2.0810546875","-2.0810546875","-2.0810546875","-0.7683630585670471","-0.7683630585670471","-0.7683630585670471","-1.448164701461792","-1.448164701461792","-1.448164701461792"
"40","-1.2456800937652588","-1.2456800937652588","-1.2456800937652588","-1.5318228006362915","-1.5318228006362915","-1.5318228006362915","-0.9275007843971252","-0.9275007843971252","-0.9275007843971252","-1.7919546365737915","-1.7919546365737915","-1.7919546365737915"
"41","-1.6000230312347412","-1.6000230312347412","-1.6000230312347412","-1.433953046798706","-1.433953046798706","-1.433953046798706","-0.6989355683326721","-0.6989355683326721","-0.6989355683326721","-1.0427778959274292","-1.0427778959274292","-1.0427778959274292"
"42","-0.994342565536499","-0.994342565536499","-0.994342565536499","-1.7777453660964966","-1.7777453660964966","-1.7777453660964966","-0.6820034384727478","-0.6820034384727478","-0.6820034384727478","-1.2579002380371094","-1.2579002380371094","-1.2579002380371094"
"43","-1.3403949737548828","-1.3403949737548828","-1.3403949737548828","-1.7688655853271484","-1.7688655853271484","-1.7688655853271484","-0.8403564691543579","-0.8403564691543579","-0.8403564691543579","-1.6897796392440796","-1.6897796392440796","-1.6897796392440796"
"44","-0.959352433681488","-0.959352433681488","-0.959352433681488","-2.2079992294311523","-2.2079992294311523","-2.2079992294311523","-0.8982380032539368","-0.8982380032539368","-0.8982380032539368","-1.055376410484314","-1.055376410484314","-1.055376410484314"
"45","-1.0462634563446045","-1.0462634563446045","-1.0462634563446045","-1.4013431072235107","-1.4013431072235107","-1.4013431072235107","-1.472487449645996","-1.472487449645996","-1.472487449645996","-1.4419504404067993","-1.4419504404067993","-1.4419504404067993"
"46","-0.9874688386917114","-0.9874688386917114","-0.9874688386917114","-1.51615571975708","-1.51615571975708","-1.51615571975708","-0.919975996017456","-0.919975996017456","-0.919975996017456","-1.3803514242172241","-1.3803514242172241","-1.3803514242172241"
"47","-1.5197534561157227","-1.5197534561157227","-1.5197534561157227","-1.841368317604065","-1.841368317604065","-1.841368317604065","-1.0099256038665771","-1.0099256038665771","-1.0099256038665771","-0.9254361391067505","-0.9254361391067505","-0.9254361391067505"
"48","-0.9010575413703918","-0.9010575413703918","-0.9010575413703918","-1.3894691467285156","-1.3894691467285156","-1.3894691467285156","-1.2259647846221924","-1.2259647846221924","-1.2259647846221924","-1.073790431022644","-1.073790431022644","-1.073790431022644"
"49","-0.8261563181877136","-0.8261563181877136","-0.8261563181877136","-1.7105281352996826","-1.7105281352996826","-1.7105281352996826","-1.1943906545639038","-1.1943906545639038","-1.1943906545639038","-1.2493773698806763","-1.2493773698806763","-1.2493773698806763"
"50","-1.121093511581421","-1.121093511581421","-1.121093511581421","-1.4774211645126343","-1.4774211645126343","-1.4774211645126343","-0.6324326992034912","-0.6324326992034912","-0.6324326992034912","-1.0782560110092163","-1.0782560110092163","-1.0782560110092163"
"51","-0.8750495910644531","-0.8750495910644531","-0.8750495910644531","-1.542947769165039","-1.542947769165039","-1.542947769165039","-0.9242827296257019","-0.9242827296257019","-0.9242827296257019","-1.4771465063095093","-1.4771465063095093","-1.4771465063095093"
"52","-1.227036714553833","-1.227036714553833","-1.227036714553833","-1.9033973217010498","-1.9033973217010498","-1.9033973217010498","-1.0136430263519287","-1.0136430263519287","-1.0136430263519287","-1.2871770858764648","-1.2871770858764648","-1.2871770858764648"
"53","-1.2985869646072388","-1.2985869646072388","-1.2985869646072388","-1.3640085458755493","-1.3640085458755493","-1.3640085458755493","-0.8018750548362732","-0.8018750548362732","-0.8018750548362732","-1.2352399826049805","-1.2352399826049805","-1.2352399826049805"
"54","-1.0787668228149414","-1.0787668228149414","-1.0787668228149414","-1.2783138751983643","-1.2783138751983643","-1.2783138751983643","-0.829178512096405","-0.829178512096405","-0.829178512096405","-1.7702140808105469","-1.7702140808105469","-1.7702140808105469"
