"Step","Group: 14_09_fixed_beta0.5against_0829_baseline - win","Group: 14_09_fixed_beta0.5against_0829_baseline - win__MIN","Group: 14_09_fixed_beta0.5against_0829_baseline - win__MAX","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - win","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - win__MIN","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - win__MAX","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - win","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - win__MIN","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - win__MAX","Group: 10_09_continue0909 - win","Group: 10_09_continue0909 - win__MIN","Group: 10_09_continue0909 - win__MAX"
"164","","","","","","","","","","105","105","105"
"165","","","","","","","","","","106","106","106"
"166","","","","","","","","","","107","107","107"
"167","","","","","","","","","","108","108","108"
"168","","","","","","","","","","112","112","112"
"169","","","","","","","","","","114","114","114"
"170","","","","","","","","","","115","115","115"
"171","","","","","","","","","","116","116","116"
"172","","","","","","","","","","117","117","117"
"173","","","","","","","","","","119","119","119"
"174","","","","","","","","","","122","122","122"
"175","","","","","","","","","","125","125","125"
"176","","","","","","","","","","128","128","128"
"177","","","","","","","","","","129","129","129"
"178","","","","","","","","","","135","135","135"
"179","","","","","","","","","","136","136","136"
"180","","","","","","","","","","138","138","138"
"181","","","","","","","","","","140","140","140"
"182","","","","","","","","","","140","140","140"
"183","","","","","","","","","","142","142","142"
"184","","","","","","","","","","144","144","144"
"185","","","","","","","","","","146","146","146"
"186","","","","","","","","","","147","147","147"
"187","","","","","","","","","","150","150","150"
"188","","","","","","","","","","152","152","152"
"189","","","","","","","","","","153","153","153"
"190","","","","","","","","","","156","156","156"
"191","","","","","","","","","","157","157","157"
"192","","","","","","","","","","159","159","159"
"193","","","","","","","","","","161","161","161"
"194","","","","","","","","","","162","162","162"
"195","","","","","","","","","","165","165","165"
"196","","","","","","","","","","168","168","168"
"197","","","","","","","","","","172","172","172"
"198","","","","","","","","","","173","173","173"
"199","","","","","","","","","","175","175","175"
"200","","","","","","","","","","176","176","176"
