"Step","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/alpha","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/alpha__MIN","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/alpha__MAX","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha__MIN","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha__MAX","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha__MIN","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha__MAX","Group: 10_09_continue0909 - Training/alpha","Group: 10_09_continue0909 - Training/alpha__MIN","Group: 10_09_continue0909 - Training/alpha__MAX"
"59","0.015760717913508415","0.015760717913508415","0.015760717913508415","0.15306401252746582","0.15306401252746582","0.15306401252746582","0.008143801242113113","0.008143801242113113","0.008143801242113113","0.01537851057946682","0.01537851057946682","0.01537851057946682"
"60","0.015490754507482052","0.015490754507482052","0.015490754507482052","0.15351523458957672","0.15351523458957672","0.15351523458957672","0.008194721303880215","0.008194721303880215","0.008194721303880215","0.015359221957623959","0.015359221957623959","0.015359221957623959"
"61","0.015586520545184612","0.015586520545184612","0.015586520545184612","0.155708447098732","0.155708447098732","0.155708447098732","0.008082309737801552","0.008082309737801552","0.008082309737801552","0.015778500586748123","0.015778500586748123","0.015778500586748123"
"62","0.015167771838605404","0.015167771838605404","0.015167771838605404","0.1568908840417862","0.1568908840417862","0.1568908840417862","0.007895641028881073","0.007895641028881073","0.007895641028881073","0.016182156279683113","0.016182156279683113","0.016182156279683113"
"63","0.015027884393930435","0.015027884393930435","0.015027884393930435","0.1565169394016266","0.1565169394016266","0.1565169394016266","0.0076816873624920845","0.0076816873624920845","0.0076816873624920845","0.016251644119620323","0.016251644119620323","0.016251644119620323"
"64","0.014568345621228218","0.014568345621228218","0.014568345621228218","0.15787161886692047","0.15787161886692047","0.15787161886692047","0.007674375548958778","0.007674375548958778","0.007674375548958778","0.01654384285211563","0.01654384285211563","0.01654384285211563"
"65","0.014385051093995571","0.014385051093995571","0.014385051093995571","0.16000035405158997","0.16000035405158997","0.16000035405158997","0.00769834965467453","0.00769834965467453","0.00769834965467453","0.016675535589456558","0.016675535589456558","0.016675535589456558"
"66","0.014120454899966717","0.014120454899966717","0.014120454899966717","0.15700717270374298","0.15700717270374298","0.15700717270374298","0.007735352497547865","0.007735352497547865","0.007735352497547865","0.016990547999739647","0.016990547999739647","0.016990547999739647"
"67","0.013741277158260345","0.013741277158260345","0.013741277158260345","0.15635362267494202","0.15635362267494202","0.15635362267494202","0.0077374959364533424","0.0077374959364533424","0.0077374959364533424","0.016461696475744247","0.016461696475744247","0.016461696475744247"
"68","0.013611799106001854","0.013611799106001854","0.013611799106001854","0.15798747539520264","0.15798747539520264","0.15798747539520264","0.0077599273063242435","0.0077599273063242435","0.0077599273063242435","0.016352886334061623","0.016352886334061623","0.016352886334061623"
"69","0.013801163993775845","0.013801163993775845","0.013801163993775845","0.1561582088470459","0.1561582088470459","0.1561582088470459","0.007697692606598139","0.007697692606598139","0.007697692606598139","0.016535380855202675","0.016535380855202675","0.016535380855202675"
"70","0.013711756095290184","0.013711756095290184","0.013711756095290184","0.1566632091999054","0.1566632091999054","0.1566632091999054","0.007738082204014063","0.007738082204014063","0.007738082204014063","0.01663312315940857","0.01663312315940857","0.01663312315940857"
"71","0.013618460856378078","0.013618460856378078","0.013618460856378078","0.155253067612648","0.155253067612648","0.155253067612648","0.007684449665248394","0.007684449665248394","0.007684449665248394","0.016632892191410065","0.016632892191410065","0.016632892191410065"
"72","0.013490057550370693","0.013490057550370693","0.013490057550370693","0.15653736889362335","0.15653736889362335","0.15653736889362335","0.007850632071495056","0.007850632071495056","0.007850632071495056","0.016500717028975487","0.016500717028975487","0.016500717028975487"
"73","0.013390828855335712","0.013390828855335712","0.013390828855335712","0.1560739129781723","0.1560739129781723","0.1560739129781723","0.007895772345364094","0.007895772345364094","0.007895772345364094","0.01658746972680092","0.01658746972680092","0.01658746972680092"
"74","0.013281617313623428","0.013281617313623428","0.013281617313623428","0.15680013597011566","0.15680013597011566","0.15680013597011566","0.008003883063793182","0.008003883063793182","0.008003883063793182","0.01685451716184616","0.01685451716184616","0.01685451716184616"
"75","0.013162495568394661","0.013162495568394661","0.013162495568394661","0.1590951681137085","0.1590951681137085","0.1590951681137085","0.008276769891381264","0.008276769891381264","0.008276769891381264","0.017137227579951286","0.017137227579951286","0.017137227579951286"
"76","0.01266019232571125","0.01266019232571125","0.01266019232571125","0.15734560787677765","0.15734560787677765","0.15734560787677765","0.008385755121707916","0.008385755121707916","0.008385755121707916","0.01702801138162613","0.01702801138162613","0.01702801138162613"
"77","0.012749506160616875","0.012749506160616875","0.012749506160616875","0.15639768540859222","0.15639768540859222","0.15639768540859222","0.008590525016188622","0.008590525016188622","0.008590525016188622","0.016872618347406387","0.016872618347406387","0.016872618347406387"
"78","0.013216173276305199","0.013216173276305199","0.013216173276305199","0.15246672928333282","0.15246672928333282","0.15246672928333282","0.008695743046700954","0.008695743046700954","0.008695743046700954","0.016858922317624092","0.016858922317624092","0.016858922317624092"
"79","0.013387407176196575","0.013387407176196575","0.013387407176196575","0.15188783407211304","0.15188783407211304","0.15188783407211304","0.008761500008404255","0.008761500008404255","0.008761500008404255","0.01714927703142166","0.01714927703142166","0.01714927703142166"
"80","0.013620663434267044","0.013620663434267044","0.013620663434267044","0.1488797664642334","0.1488797664642334","0.1488797664642334","0.008807677775621414","0.008807677775621414","0.008807677775621414","0.01735023595392704","0.01735023595392704","0.01735023595392704"
"81","0.013602483086287975","0.013602483086287975","0.013602483086287975","0.14689968526363373","0.14689968526363373","0.14689968526363373","0.008772213943302631","0.008772213943302631","0.008772213943302631","0.01722465083003044","0.01722465083003044","0.01722465083003044"
"82","0.013356081210076809","0.013356081210076809","0.013356081210076809","0.1473398059606552","0.1473398059606552","0.1473398059606552","0.008986937813460827","0.008986937813460827","0.008986937813460827","0.01752455346286297","0.01752455346286297","0.01752455346286297"
"83","0.013306396082043648","0.013306396082043648","0.013306396082043648","0.14344801008701324","0.14344801008701324","0.14344801008701324","0.009144877083599567","0.009144877083599567","0.009144877083599567","0.01749660074710846","0.01749660074710846","0.01749660074710846"
"84","0.013583343476057053","0.013583343476057053","0.013583343476057053","0.1412968635559082","0.1412968635559082","0.1412968635559082","0.00901562999933958","0.00901562999933958","0.00901562999933958","0.017699897289276123","0.017699897289276123","0.017699897289276123"
"85","0.013723433017730713","0.013723433017730713","0.013723433017730713","0.1387673169374466","0.1387673169374466","0.1387673169374466","0.009163537062704563","0.009163537062704563","0.009163537062704563","0.017756324261426926","0.017756324261426926","0.017756324261426926"
"86","0.01391657255589962","0.01391657255589962","0.01391657255589962","0.13700737059116364","0.13700737059116364","0.13700737059116364","0.009272133931517601","0.009272133931517601","0.009272133931517601","0.017759526148438454","0.017759526148438454","0.017759526148438454"
"87","0.013813224621117115","0.013813224621117115","0.013813224621117115","0.1341414898633957","0.1341414898633957","0.1341414898633957","0.00951356627047062","0.00951356627047062","0.00951356627047062","0.01788119226694107","0.01788119226694107","0.01788119226694107"
"88","0.013624442741274834","0.013624442741274834","0.013624442741274834","0.13314130902290344","0.13314130902290344","0.13314130902290344","0.009570637717843056","0.009570637717843056","0.009570637717843056","0.017801247537136078","0.017801247537136078","0.017801247537136078"
"89","0.013626528903841972","0.013626528903841972","0.013626528903841972","0.13196209073066711","0.13196209073066711","0.13196209073066711","0.00960627757012844","0.00960627757012844","0.00960627757012844","0.017885318025946617","0.017885318025946617","0.017885318025946617"
"90","0.013619538396596909","0.013619538396596909","0.013619538396596909","0.1313871145248413","0.1313871145248413","0.1313871145248413","0.009513485245406628","0.009513485245406628","0.009513485245406628","0.018226824700832367","0.018226824700832367","0.018226824700832367"
"91","0.0137361204251647","0.0137361204251647","0.0137361204251647","0.12857919931411743","0.12857919931411743","0.12857919931411743","0.00986323319375515","0.00986323319375515","0.00986323319375515","0.018469499424099922","0.018469499424099922","0.018469499424099922"
"92","0.013883736915886402","0.013883736915886402","0.013883736915886402","0.12826432287693024","0.12826432287693024","0.12826432287693024","0.010059301741421223","0.010059301741421223","0.010059301741421223","0.01861090026795864","0.01861090026795864","0.01861090026795864"
"93","0.013842619024217129","0.013842619024217129","0.013842619024217129","0.12997838854789734","0.12997838854789734","0.12997838854789734","0.010458343662321568","0.010458343662321568","0.010458343662321568","0.018401367589831352","0.018401367589831352","0.018401367589831352"
"94","0.014039572328329086","0.014039572328329086","0.014039572328329086","0.1287286877632141","0.1287286877632141","0.1287286877632141","0.01051105372607708","0.01051105372607708","0.01051105372607708","0.018657734617590904","0.018657734617590904","0.018657734617590904"
"95","0.014306985773146152","0.014306985773146152","0.014306985773146152","0.12911994755268097","0.12911994755268097","0.12911994755268097","0.010477840900421143","0.010477840900421143","0.010477840900421143","0.01881302520632744","0.01881302520632744","0.01881302520632744"
"96","0.014580902643501759","0.014580902643501759","0.014580902643501759","0.12589889764785767","0.12589889764785767","0.12589889764785767","0.010549732483923435","0.010549732483923435","0.010549732483923435","0.018828384578227997","0.018828384578227997","0.018828384578227997"
"97","0.015115289017558098","0.015115289017558098","0.015115289017558098","0.12664614617824554","0.12664614617824554","0.12664614617824554","0.010879297740757465","0.010879297740757465","0.010879297740757465","0.019118962809443474","0.019118962809443474","0.019118962809443474"
"98","0.01560791116207838","0.01560791116207838","0.01560791116207838","0.12819838523864746","0.12819838523864746","0.12819838523864746","0.011162584647536278","0.011162584647536278","0.011162584647536278","0.019473139196634293","0.019473139196634293","0.019473139196634293"
"99","0.015943245962262154","0.015943245962262154","0.015943245962262154","0.12802185118198395","0.12802185118198395","0.12802185118198395","0.011351103894412518","0.011351103894412518","0.011351103894412518","0.01964574120938778","0.01964574120938778","0.01964574120938778"
"100","0.016357893124222755","0.016357893124222755","0.016357893124222755","0.1281728297472","0.1281728297472","0.1281728297472","0.011521829292178154","0.011521829292178154","0.011521829292178154","0.019756903871893883","0.019756903871893883","0.019756903871893883"
"101","","","","","","","","","","0.019756903871893883","0.019756903871893883","0.019756903871893883"
"102","","","","","","","","","","0.023407060652971268","0.023407060652971268","0.023407060652971268"
"103","","","","","","","","","","0.02857869677245617","0.02857869677245617","0.02857869677245617"
"104","","","","","","","","","","0.034708522260189056","0.034708522260189056","0.034708522260189056"
"105","","","","","","","","","","0.041745200753211975","0.041745200753211975","0.041745200753211975"
"106","","","","","","","","","","0.04832075536251068","0.04832075536251068","0.04832075536251068"
"107","","","","","","","","","","0.05070890858769417","0.05070890858769417","0.05070890858769417"
"108","","","","","","","","","","0.05040212720632553","0.05040212720632553","0.05040212720632553"
"109","","","","","","","","","","0.04892274737358093","0.04892274737358093","0.04892274737358093"
"110","","","","","","","","","","0.04671265184879303","0.04671265184879303","0.04671265184879303"
"111","","","","","","","","","","0.04508360102772713","0.04508360102772713","0.04508360102772713"
"112","","","","","","","","","","0.04443594440817833","0.04443594440817833","0.04443594440817833"
"113","","","","","","","","","","0.04398585110902786","0.04398585110902786","0.04398585110902786"
"114","","","","","","","","","","0.04367733374238014","0.04367733374238014","0.04367733374238014"
"115","","","","","","","","","","0.0424090214073658","0.0424090214073658","0.0424090214073658"
"116","","","","","","","","","","0.041052911430597305","0.041052911430597305","0.041052911430597305"
"117","","","","","","","","","","0.040184203535318375","0.040184203535318375","0.040184203535318375"
"118","","","","","","","","","","0.039619509130716324","0.039619509130716324","0.039619509130716324"
"119","","","","","","","","","","0.038644928485155106","0.038644928485155106","0.038644928485155106"
"120","","","","","","","","","","0.03795698285102844","0.03795698285102844","0.03795698285102844"
"121","","","","","","","","","","0.03711944445967674","0.03711944445967674","0.03711944445967674"
"122","","","","","","","","","","0.03662703558802605","0.03662703558802605","0.03662703558802605"
"123","","","","","","","","","","0.03536553680896759","0.03536553680896759","0.03536553680896759"
"124","","","","","","","","","","0.034430768340826035","0.034430768340826035","0.034430768340826035"
"125","","","","","","","","","","0.033511362969875336","0.033511362969875336","0.033511362969875336"
"126","","","","","","","","","","0.032629936933517456","0.032629936933517456","0.032629936933517456"
"127","","","","","","","","","","0.031817514449357986","0.031817514449357986","0.031817514449357986"
"128","","","","","","","","","","0.03120546229183674","0.03120546229183674","0.03120546229183674"
"129","","","","","","","","","","0.030795874074101448","0.030795874074101448","0.030795874074101448"
"130","","","","","","","","","","0.031083574518561363","0.031083574518561363","0.031083574518561363"
